Foreign State;Immediate Relatives;Special Immigrants;Family Preference;Employment Preference;Immigrants;Total
Afghanistan;1249;18318;405;10;572;20554
Albania;1373;2;415;93;1553;3436
Algeria;637;15;135;25;3845;4657
Andorra;0;0;0;0;0;0
Angola;39;2;15;4;251;311
Antigua and Barbuda;89;0;41;8;3;141
Argentina;454;3;124;248;80;909
Armenia;925;6;382;45;2318;3676
Australia;292;44;53;99;78;566
Austria;65;3;9;12;7;96
Azerbaijan;192;8;55;28;514;797
Bahamas, The;141;0;31;60;7;239
Bahrain;27;0;5;18;3;53
Bangladesh;5466;101;9792;218;0;15577
Barbados;75;1;27;17;0;120
Belarus;541;4;95;61;1041;1742
Belgium;74;1;4;31;10;120
Belize;155;0;79;9;0;243
Benin;187;1;47;4;273;512
Bhutan;20;0;1;3;78;102
Bolivia;396;1;202;29;14;642
Bosnia and Herzegovina;118;1;34;14;33;200
Botswana;4;0;2;2;0;8
Brazil;2470;29;413;2552;0;5464
Brunei;1;0;3;5;0;9
Bulgaria;287;10;52;20;87;456
Burkina Faso;178;1;52;11;93;335
Burma;959;18;604;75;659;2315
Burundi;50;0;10;11;91;162
Cabo Verde;475;5;816;12;19;1327
Cambodia;1332;3;433;91;66;1925
Cameroon;1847;12;468;29;1406;3762
Canada;1110;7;426;496;0;2039
Central African Republic;9;0;3;0;3;15
Chad;24;0;6;0;102;132
Chile;198;3;64;36;10;311
China - mainland born;7168;150;3836;8632;0;19786
Colombia;5140;61;1625;711;0;7537
Comoros;1;0;0;0;3;4
Congo, Dem. Rep. of the;522;7;207;12;966;1714
Congo, Rep. of the;46;0;13;4;77;140
Costa Rica;418;3;103;20;27;571
Cote d'Ivoire;355;2;176;7;266;806
Croatia;25;3;3;5;6;42
Cuba;21183;5;16343;2;808;38341
Cyprus;9;2;3;5;4;23
Czech Republic;51;1;10;10;10;82
Denmark;47;2;5;26;5;85
Djibouti;18;0;11;0;40;69
Dominica;137;2;116;6;2;263
Dominican Republic;13532;59;41175;46;0;54812
Ecuador;3304;14;1906;46;215;5485
Egypt;2280;19;831;127;2687;5944
El Salvador;4415;24;4108;105;0;8652
Equatorial Guinea;2;0;4;0;0;6
Eritrea;327;10;97;22;35;491
Estonia;23;1;0;1;12;37
Eswatini;5;0;0;0;0;5
Ethiopia;2018;54;1070;30;576;3748
Fiji;130;2;65;3;672;872
Finland;40;2;5;16;13;76
France;466;15;98;136;99;814
Gabon;33;0;12;0;18;63
Gambia, The;592;0;79;17;22;710
Georgia;390;4;205;33;765;1397
Germany;869;37;99;153;239;1397
Ghana;3852;2;285;287;628;5054
Great Britain and Northern Ireland;1509;25;181;390;0;2105
Greece;98;4;45;28;43;218
Grenada;127;0;78;8;0;213
Guatemala;3117;7;2072;80;32;5308
Guinea-Bissau;18;0;3;0;8;29
Guinea;581;0;38;55;343;1017
Guyana;1427;13;2983;19;7;4449
Haiti;7772;19;2906;86;0;10783
Honduras;2414;7;1393;65;0;3879
Hong Kong S.A.R.;328;16;417;160;0;921
Hungary;107;5;16;24;28;180
Iceland;23;2;0;1;0;26
India;15738;185;14339;1899;0;32161
Indonesia;378;12;70;36;44;540
Iran;2857;36;1632;532;1029;6086
Iraq;1262;283;284;34;409;2272
Ireland;154;1;10;39;2;206
Israel;387;5;63;53;3;511
Italy;441;37;69;142;67;756
Jamaica;5959;18;5656;432;0;12065
Japan;946;76;46;163;92;1323
Jordan;3493;7;1348;138;471;5457
Kazakhstan;301;1;49;72;1285;1708
Kenya;553;13;150;914;781;2411
Kiribati;1;0;0;0;0;1
Korea, North;3;0;0;2;0;5
Korea, South;1335;13;351;2713;0;4412
Kosovo;256;0;168;31;342;797
Kuwait;238;4;183;56;60;541
Kyrgyzstan;242;6;46;7;1887;2188
Laos;342;11;55;4;7;419
Latvia;48;2;9;2;29;90
Lebanon;904;2;701;80;106;1793
Lesotho;0;0;0;1;0;1
Liberia;786;3;196;8;389;1382
Libya;226;0;36;21;275;558
Liechtenstein;0;0;0;0;0;0
Lithuania;75;0;22;13;60;170
Luxembourg;8;0;0;0;0;8
Madagascar;26;1;0;10;7;44
Malawi;41;1;5;29;16;92
Malaysia;140;16;68;54;16;294
Maldives;4;0;0;0;0;4
Mali;215;0;13;3;33;264
Malta;6;0;2;2;0;10
Marshall Islands;0;0;0;0;0;0
Mauritania;70;0;1;0;98;169
Mauritius;8;1;0;1;0;10
Mexico;43539;61;23670;1312;0;68582
Micronesia, Federated States of;0;0;0;0;0;0
Moldova;332;2;66;12;358;770
Monaco;2;0;0;0;0;2
Mongolia;71;3;34;26;153;287
Montenegro;81;0;16;6;17;120
Morocco;1534;8;398;17;2772;4729
Mozambique;21;0;1;3;0;25
Namibia;15;0;2;7;0;24
Nauru;0;0;0;0;1;1
Nepal;2617;70;474;646;3340;7147
Netherlands;164;7;14;39;5;229
New Zealand;77;12;17;32;48;186
Nicaragua;1243;7;573;13;58;1894
Niger;6;2;0;0;10;18
Nigeria;4464;6;894;1109;0;6473
North Macedonia;244;1;81;38;183;547
Northern Ireland (DV only);-;-;-;-;0;0
Norway;39;0;3;14;4;60
Oman;17;1;4;16;9;47
Pakistan;4020;139;1934;371;0;6464
Palau;2;0;0;0;0;2
Panama;215;2;98;33;0;348
Papua New Guinea;2;0;1;3;6;12
Paraguay;70;0;22;7;2;101
Peru;2699;28;3286;91;568;6672
Philippines;9019;106;13107;12331;0;34563
Poland;428;33;157;138;113;869
Portugal;82;1;14;32;6;135
Qatar;54;28;28;213;42;365
Romania;303;10;58;24;122;517
Russia;2116;13;310;352;2907;5698
Rwanda;176;0;52;1;650;879
Saint Kitts and Nevis;58;0;45;0;0;103
Saint Lucia;158;0;83;21;3;265
Saint Vincent and the Grenadines;86;1;45;3;0;135
Samoa;22;0;5;0;4;31
San Marino;1;0;0;0;0;1
Sao Tome and Principe;5;0;4;0;0;9
Saudi Arabia;394;5;216;276;203;1094
Senegal;644;2;66;23;116;851
Serbia;222;4;42;42;98;408
Seychelles;1;0;0;0;0;1
Sierra Leone;850;0;194;8;293;1345
Singapore;69;1;20;42;5;137
Slovakia;42;1;2;5;7;57
Slovenia;16;1;7;1;2;27
Solomon Islands;0;0;0;0;0;0
Somalia;483;2;94;5;253;837
South Africa;440;5;64;417;97;1023
South Sudan;29;0;11;0;3;43
Spain;271;8;75;94;23;471
Sri Lanka;393;0;125;63;870;1451
Sudan;720;11;152;20;1975;2878
Suriname;18;0;62;3;0;83
Sweden;134;6;21;29;8;198
Switzerland;75;0;11;22;13;121
Syria;1299;3;623;40;135;2100
Taiwan;631;93;352;509;94;1679
Tajikistan;189;2;58;13;1675;1937
Tanzania;171;2;27;12;120;332
Thailand;1039;25;154;138;429;1785
Timor-Leste;4;0;0;0;0;4
Togo;607;9;325;2;871;1814
Tonga;35;2;51;0;18;106
Trinidad and Tobago;593;23;525;127;23;1291
Tunisia;182;4;18;5;97;306
Turkey;692;97;126;156;1361;2432
Turkmenistan;37;9;33;27;377;483
Tuvalu;0;0;0;0;0;0
Uganda;175;4;31;41;209;460
Ukraine;1512;12;427;137;1632;3720
United Arab Emirates;164;37;129;293;93;716
Uruguay;69;5;16;13;4;107
Uzbekistan;688;4;933;35;2384;4044
Vanuatu;1;0;2;0;2;5
Vatican City;0;0;0;0;0;0
Venezuela;1537;10;432;627;0;2606
Vietnam2;9546;187;18882;2537;0;31389
Yemen;3613;2;985;61;662;5323
Zambia;75;4;24;39;36;178
Zimbabwe;139;5;57;483;123;807
